86Sr(p,n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
29.0	69.7	2.9	8.79E+02	2.38E+01	8.59E+02	1.87E+04
29.1	69.5	2.9	8.80E+02	2.38E+01	8.60E+02	1.87E+04
29.2	69.2	2.9	8.82E+02	2.38E+01	8.61E+02	1.87E+04
29.3	68.9	2.9	8.83E+02	2.39E+01	8.62E+02	1.88E+04
29.4	68.7	2.8	8.84E+02	2.39E+01	8.64E+02	1.88E+04
29.5	68.4	2.8	8.85E+02	2.39E+01	8.65E+02	1.88E+04
29.6	68.2	2.8	8.86E+02	2.40E+01	8.66E+02	1.88E+04
29.7	67.9	2.8	8.88E+02	2.40E+01	8.67E+02	1.89E+04
29.8	67.7	2.8	8.89E+02	2.40E+01	8.68E+02	1.89E+04
29.9	67.5	2.8	8.90E+02	2.41E+01	8.69E+02	1.89E+04
30.0	67.2	3.6	8.91E+02	2.41E+01	8.71E+02	1.90E+04
30.1	67.0	3.6	8.92E+02	2.41E+01	8.72E+02	1.90E+04
30.2	66.8	3.6	8.94E+02	2.42E+01	8.73E+02	1.90E+04
30.3	66.6	3.6	8.95E+02	2.42E+01	8.74E+02	1.90E+04
30.4	66.4	3.6	8.96E+02	2.42E+01	8.75E+02	1.91E+04
30.5	66.2	3.6	8.97E+02	2.43E+01	8.77E+02	1.91E+04
30.6	66.0	3.5	8.99E+02	2.43E+01	8.78E+02	1.91E+04
30.7	65.8	3.5	9.00E+02	2.43E+01	8.79E+02	1.91E+04
30.8	65.6	3.5	9.01E+02	2.43E+01	8.80E+02	1.92E+04
30.9	65.4	3.5	9.02E+02	2.44E+01	8.81E+02	1.92E+04
31.0	65.2	3.5	9.03E+02	2.44E+01	8.82E+02	1.92E+04
31.1	65.0	3.5	9.05E+02	2.44E+01	8.84E+02	1.92E+04
31.2	64.8	3.5	9.06E+02	2.45E+01	8.85E+02	1.93E+04
31.3	64.6	3.5	9.07E+02	2.45E+01	8.86E+02	1.93E+04
31.4	64.5	3.5	9.08E+02	2.45E+01	8.87E+02	1.93E+04
31.5	64.3	3.5	9.09E+02	2.46E+01	8.88E+02	1.93E+04
31.6	64.1	3.4	9.11E+02	2.46E+01	8.89E+02	1.94E+04
31.7	63.9	3.4	9.12E+02	2.46E+01	8.91E+02	1.94E+04
31.8	63.8	3.4	9.13E+02	2.47E+01	8.92E+02	1.94E+04
31.9	63.6	3.4	9.14E+02	2.47E+01	8.93E+02	1.94E+04
32.0	63.4	3.4	9.15E+02	2.47E+01	8.94E+02	1.95E+04
32.1	63.3	3.4	9.17E+02	2.48E+01	8.95E+02	1.95E+04
32.2	63.1	3.4	9.18E+02	2.48E+01	8.97E+02	1.95E+04
32.3	63.0	3.4	9.19E+02	2.48E+01	8.98E+02	1.95E+04
32.4	62.8	3.4	9.20E+02	2.49E+01	8.99E+02	1.96E+04
32.5	62.7	3.4	9.21E+02	2.49E+01	9.00E+02	1.96E+04
32.6	62.5	3.4	9.23E+02	2.49E+01	9.01E+02	1.96E+04
32.7	62.4	3.4	9.24E+02	2.50E+01	9.02E+02	1.96E+04
32.8	62.2	3.3	9.25E+02	2.50E+01	9.04E+02	1.97E+04
32.9	62.1	3.3	9.26E+02	2.50E+01	9.05E+02	1.97E+04
33.0	62.0	3.3	9.27E+02	2.51E+01	9.06E+02	1.97E+04
33.1	61.8	3.3	9.29E+02	2.51E+01	9.07E+02	1.97E+04
33.2	61.7	3.3	9.30E+02	2.51E+01	9.08E+02	1.98E+04
33.3	61.5	3.3	9.31E+02	2.52E+01	9.09E+02	1.98E+04
33.4	61.4	3.3	9.32E+02	2.52E+01	9.11E+02	1.98E+04
33.5	61.3	3.3	9.33E+02	2.52E+01	9.12E+02	1.98E+04
33.6	61.2	3.3	9.35E+02	2.53E+01	9.13E+02	1.99E+04
33.7	61.0	3.3	9.36E+02	2.53E+01	9.14E+02	1.99E+04
33.8	60.9	3.3	9.37E+02	2.53E+01	9.15E+02	1.99E+04
33.9	60.8	3.3	9.38E+02	2.54E+01	9.17E+02	2.00E+04
34.0	60.7	3.3	9.39E+02	2.54E+01	9.18E+02	2.00E+04
34.1	60.5	3.3	9.41E+02	2.54E+01	9.19E+02	2.00E+04
34.2	60.4	3.2	9.42E+02	2.55E+01	9.20E+02	2.00E+04
34.3	60.3	3.2	9.43E+02	2.55E+01	9.21E+02	2.01E+04
34.4	60.2	3.2	9.44E+02	2.55E+01	9.22E+02	2.01E+04
34.5	60.1	3.2	9.45E+02	2.56E+01	9.24E+02	2.01E+04
34.6	59.9	3.2	9.47E+02	2.56E+01	9.25E+02	2.01E+04
34.7	59.8	3.2	9.48E+02	2.56E+01	9.26E+02	2.02E+04
34.8	59.7	3.2	9.49E+02	2.57E+01	9.27E+02	2.02E+04
34.9	59.6	3.2	9.50E+02	2.57E+01	9.28E+02	2.02E+04
35.0	59.5	5.6	9.51E+02	2.57E+01	9.29E+02	2.02E+04
35.1	59.4	5.6	9.53E+02	2.57E+01	9.31E+02	2.03E+04
35.2	59.3	5.6	9.54E+02	2.58E+01	9.32E+02	2.03E+04
35.3	59.2	5.6	9.55E+02	2.58E+01	9.33E+02	2.03E+04
35.4	59.1	5.5	9.56E+02	2.58E+01	9.34E+02	2.03E+04
35.5	59.0	5.5	9.58E+02	2.59E+01	9.35E+02	2.04E+04
35.6	58.9	5.5	9.59E+02	2.59E+01	9.37E+02	2.04E+04
35.7	58.8	5.5	9.60E+02	2.59E+01	9.38E+02	2.04E+04
35.8	58.7	5.5	9.61E+02	2.60E+01	9.39E+02	2.04E+04
35.9	58.6	5.5	9.62E+02	2.60E+01	9.40E+02	2.05E+04
36.0	58.5	5.5	9.64E+02	2.60E+01	9.41E+02	2.05E+04
36.1	58.4	5.5	9.65E+02	2.61E+01	9.43E+02	2.05E+04
36.2	58.3	5.5	9.66E+02	2.61E+01	9.44E+02	2.05E+04
36.3	58.2	5.5	9.67E+02	2.61E+01	9.45E+02	2.06E+04
36.4	58.1	5.5	9.68E+02	2.62E+01	9.46E+02	2.06E+04
36.5	58.0	5.4	9.70E+02	2.62E+01	9.47E+02	2.06E+04
36.6	57.9	5.4	9.71E+02	2.62E+01	9.48E+02	2.06E+04
36.7	57.8	5.4	9.72E+02	2.63E+01	9.50E+02	2.07E+04
36.8	57.7	5.4	9.73E+02	2.63E+01	9.51E+02	2.07E+04
36.9	57.6	5.4	9.75E+02	2.63E+01	9.52E+02	2.07E+04
37.0	57.5	5.4	9.76E+02	2.64E+01	9.53E+02	2.08E+04
37.1	57.5	5.4	9.77E+02	2.64E+01	9.54E+02	2.08E+04
37.2	57.4	5.4	9.78E+02	2.64E+01	9.56E+02	2.08E+04
37.3	57.3	5.4	9.79E+02	2.65E+01	9.57E+02	2.08E+04
37.4	57.2	5.4	9.81E+02	2.65E+01	9.58E+02	2.09E+04
37.5	57.1	5.4	9.82E+02	2.65E+01	9.59E+02	2.09E+04
37.6	57.0	5.4	9.83E+02	2.66E+01	9.60E+02	2.09E+04
37.7	56.9	5.3	9.84E+02	2.66E+01	9.62E+02	2.09E+04
37.8	56.9	5.3	9.86E+02	2.66E+01	9.63E+02	2.10E+04
37.9	56.8	5.3	9.87E+02	2.67E+01	9.64E+02	2.10E+04
38.0	56.7	5.3	9.88E+02	2.67E+01	9.65E+02	2.10E+04
38.1	56.6	5.3	9.89E+02	2.67E+01	9.66E+02	2.10E+04
38.2	56.5	5.3	9.90E+02	2.68E+01	9.68E+02	2.11E+04
38.3	56.5	5.3	9.92E+02	2.68E+01	9.69E+02	2.11E+04
38.4	56.4	5.3	9.93E+02	2.68E+01	9.70E+02	2.11E+04
38.5	56.3	5.3	9.94E+02	2.69E+01	9.71E+02	2.11E+04
38.6	56.2	5.3	9.95E+02	2.69E+01	9.72E+02	2.12E+04
38.7	56.1	5.3	9.97E+02	2.69E+01	9.74E+02	2.12E+04
38.8	56.1	5.3	9.98E+02	2.70E+01	9.75E+02	2.12E+04
38.9	56.0	5.3	9.99E+02	2.70E+01	9.76E+02	2.12E+04
39.0	55.9	5.2	1.00E+03	2.70E+01	9.77E+02	2.13E+04
39.1	55.8	5.2	1.00E+03	2.71E+01	9.78E+02	2.13E+04
39.2	55.8	5.2	1.00E+03	2.71E+01	9.80E+02	2.13E+04
39.3	55.7	5.2	1.00E+03	2.71E+01	9.81E+02	2.13E+04
39.4	55.6	5.2	1.01E+03	2.72E+01	9.82E+02	2.14E+04
39.5	55.5	5.2	1.01E+03	2.72E+01	9.83E+02	2.14E+04
39.6	55.5	5.2	1.01E+03	2.72E+01	9.84E+02	2.14E+04
39.7	55.4	5.2	1.01E+03	2.73E+01	9.86E+02	2.15E+04
39.8	55.3	5.2	1.01E+03	2.73E+01	9.87E+02	2.15E+04
39.9	55.3	5.2	1.01E+03	2.73E+01	9.88E+02	2.15E+04
40.0	55.2	7.8	1.01E+03	2.74E+01	9.89E+02	2.15E+04
40.1	55.1	7.8	1.01E+03	2.74E+01	9.90E+02	2.16E+04
