88Sr(p,3n)86Y						
						
						
	fit	fit				
Energy	Pade	Uncert.	Phys. yield	Phys. yield	1 h irrad.	Saturation
MeV	mb	mb	MBq/uAh  	mCi/uAh  	MBq/uA  	MBq/uA
57.0	78.1	6.7	1.80E+03	4.88E+01	1.76E+03	3.84E+04
57.1	77.7	6.7	1.81E+03	4.88E+01	1.76E+03	3.84E+04
57.2	77.3	6.6	1.81E+03	4.89E+01	1.77E+03	3.85E+04
57.3	77.0	6.6	1.81E+03	4.89E+01	1.77E+03	3.85E+04
57.4	76.6	6.6	1.81E+03	4.90E+01	1.77E+03	3.86E+04
57.5	76.2	6.5	1.82E+03	4.91E+01	1.77E+03	3.86E+04
57.6	75.8	6.5	1.82E+03	4.91E+01	1.78E+03	3.87E+04
57.7	75.4	6.5	1.82E+03	4.92E+01	1.78E+03	3.87E+04
57.8	75.1	6.4	1.82E+03	4.92E+01	1.78E+03	3.87E+04
57.9	74.7	6.4	1.82E+03	4.93E+01	1.78E+03	3.88E+04
58.0	74.4	6.4	1.83E+03	4.94E+01	1.78E+03	3.88E+04
58.1	74.0	6.3	1.83E+03	4.94E+01	1.79E+03	3.89E+04
58.2	73.7	6.3	1.83E+03	4.95E+01	1.79E+03	3.89E+04
58.3	73.4	6.3	1.83E+03	4.95E+01	1.79E+03	3.90E+04
58.4	73.0	6.3	1.84E+03	4.96E+01	1.79E+03	3.90E+04
58.5	72.7	6.2	1.84E+03	4.97E+01	1.79E+03	3.91E+04
58.6	72.4	6.2	1.84E+03	4.97E+01	1.80E+03	3.91E+04
58.7	72.1	6.2	1.84E+03	4.98E+01	1.80E+03	3.92E+04
58.8	71.7	6.1	1.84E+03	4.98E+01	1.80E+03	3.92E+04
58.9	71.4	6.1	1.85E+03	4.99E+01	1.80E+03	3.93E+04
59.0	71.1	6.1	1.85E+03	5.00E+01	1.81E+03	3.93E+04
59.1	70.8	6.1	1.85E+03	5.00E+01	1.81E+03	3.93E+04
